Gene,Normal,Tumor,FoldChange,Pathway
MDM2,-0.5332240437158474,-0.17117641920146637,0.36204762451438105,TP53_Checkpoint
FANCD2,-1.7187903080526028,-0.864419389684041,0.8543709183685618,DNA_Repair
CHEK2,-1.3122110655737704,-0.8087594517958416,0.5034516137779288,TP53_Checkpoint
CDKN1A,0.2711509637903083,0.09704685390224155,-0.17410410988806674,TP53_Checkpoint
ATM,-1.3129262295081967,-1.511460079051383,-0.1985338495431863,DNA_Repair
TP53,-0.44767213114754106,-0.3559606175173286,0.09171151363021246,TP53_Checkpoint
BAX,-1.2447677595628421,-0.8517761499684946,0.39299160959434754,TP53_Checkpoint
BRCA1,-2.2395008693492295,-1.4668244543736035,0.772676414975626,DNA_Repair
RAD51,-3.853222950819672,-1.6459584120982986,2.2072645387213736,DNA_Repair
BRCA2,-2.4044125683060114,-0.8466186200378072,1.5577939482682042,DNA_Repair
PALB2,-1.0732377049180324,-0.52619281663516,0.5470448882828723,DNA_Repair
